dep;clage_vacsi;jour;n_tot_dose1;n_tot_dose2;pop;couv_tot_dose1;couv_tot_dose2
00;59;2021-03-23;0;1;;;
00;69;2021-03-23;0;1;;;
00;79;2021-03-23;1;0;;;
00;80;2021-03-23;1;0;;;
01;24;2021-03-23;187;35;45088.0;0.4;0.1
01;29;2021-03-23;334;83;34820.0;1.0;0.2
01;39;2021-03-23;1110;311;85588.0;1.3;0.4
01;49;2021-03-23;1959;657;89678.0;2.2;0.7
01;59;2021-03-23;5760;2076;89791.0;6.4;2.3
01;64;2021-03-23;3831;891;38384.0;10.0;2.3
01;69;2021-03-23;3392;745;35116.0;9.7;2.1
01;74;2021-03-23;4623;1037;30953.0;14.9;3.4
01;79;2021-03-23;9386;4202;20058.0;46.8;20.9
01;80;2021-03-23;17005;8826;34225.0;49.7;25.8
02;24;2021-03-23;293;64;37469.0;0.8;0.2
02;29;2021-03-23;451;146;26232.0;1.7;0.6
02;39;2021-03-23;1483;552;62599.0;2.4;0.9
02;49;2021-03-23;2420;969;64812.0;3.7;1.5
02;59;2021-03-23;6397;2391;70352.0;9.1;3.4
02;64;2021-03-23;4293;1121;34901.0;12.3;3.2
02;69;2021-03-23;4277;955;34176.0;12.5;2.8
02;74;2021-03-23;5681;1307;28969.0;19.6;4.5
02;79;2021-03-23;8867;3595;16402.0;54.1;21.9
02;80;2021-03-23;15587;7660;32544.0;47.9;23.5
03;24;2021-03-23;378;82;20427.0;1.9;0.4
03;29;2021-03-23;433;172;14422.0;3.0;1.2
03;39;2021-03-23;1333;640;33349.0;4.0;1.9
03;49;2021-03-23;2273;1167;39464.0;5.8;3.0
03;59;2021-03-23;5343;2437;45840.0;11.7;5.3
03;64;2021-03-23;3491;1080;23776.0;14.7;4.5
03;69;2021-03-23;3254;905;25182.0;12.9;3.6
03;74;2021-03-23;4365;1261;23121.0;18.9;5.5
03;79;2021-03-23;8432;4825;15099.0;55.8;32.0
03;80;2021-03-23;16815;10635;30684.0;54.8;34.7
04;24;2021-03-23;51;11;9366.0;0.5;0.1
04;29;2021-03-23;80;19;7090.0;1.1;0.3
04;39;2021-03-23;266;98;17545.0;1.5;0.6
04;49;2021-03-23;558;232;19525.0;2.9;1.2
04;59;2021-03-23;1997;791;23898.0;8.4;3.3
04;64;2021-03-23;1521;430;12510.0;12.2;3.4
04;69;2021-03-23;1616;402;11975.0;13.5;3.4
04;74;2021-03-23;2025;559;11196.0;18.1;5.0
04;79;2021-03-23;3963;2451;7612.0;52.1;32.2
