fra;clage_vacsi;jour;n_dose1;n_complet;n_cum_dose1;n_cum_complet;couv_dose1;couv_complet
FR;04;2020-12-27;2;0;2;0;0.0;0.0
FR;04;2020-12-28;3;0;5;0;0.0;0.0
FR;04;2020-12-29;1;0;6;0;0.0;0.0
FR;04;2020-12-30;1;0;7;0;0.0;0.0
FR;04;2020-12-31;1;0;8;0;0.0;0.0
FR;04;2021-01-01;1;0;9;0;0.0;0.0
FR;04;2021-01-02;0;0;9;0;0.0;0.0
FR;04;2021-01-03;0;0;9;0;0.0;0.0
FR;04;2021-01-04;0;0;9;0;0.0;0.0
FR;04;2021-01-05;0;0;9;0;0.0;0.0
FR;04;2021-01-06;0;0;9;0;0.0;0.0
FR;04;2021-01-07;0;0;9;0;0.0;0.0
FR;04;2021-01-08;0;0;9;0;0.0;0.0
FR;04;2021-01-09;0;0;9;0;0.0;0.0
FR;04;2021-01-10;0;0;9;0;0.0;0.0
FR;04;2021-01-11;3;0;12;0;0.0;0.0
FR;04;2021-01-12;2;0;14;0;0.0;0.0
FR;04;2021-01-13;0;0;14;0;0.0;0.0
FR;04;2021-01-14;10;0;24;0;0.0;0.0
FR;04;2021-01-15;5;0;29;0;0.0;0.0
FR;04;2021-01-16;5;0;34;0;0.0;0.0
FR;04;2021-01-17;1;0;35;0;0.0;0.0
FR;04;2021-01-18;4;0;39;0;0.0;0.0
FR;04;2021-01-19;4;0;43;0;0.0;0.0
FR;04;2021-01-20;5;0;48;0;0.0;0.0
FR;04;2021-01-21;2;0;50;0;0.0;0.0
FR;04;2021-01-22;5;0;55;0;0.0;0.0
FR;04;2021-01-23;1;0;56;0;0.0;0.0
FR;04;2021-01-24;0;0;56;0;0.0;0.0
FR;04;2021-01-25;3;0;59;0;0.0;0.0
FR;04;2021-01-26;4;0;63;0;0.0;0.0
FR;04;2021-01-27;6;0;69;0;0.0;0.0
FR;04;2021-01-28;1;0;70;0;0.0;0.0
FR;04;2021-01-29;6;0;76;0;0.0;0.0
FR;04;2021-01-30;2;0;78;0;0.0;0.0
FR;04;2021-01-31;1;0;79;0;0.0;0.0
FR;04;2021-02-01;3;0;82;0;0.0;0.0
FR;04;2021-02-02;6;0;88;0;0.0;0.0
FR;04;2021-02-03;2;0;90;0;0.0;0.0
FR;04;2021-02-04;1;1;91;1;0.0;0.0
FR;04;2021-02-05;4;0;95;1;0.0;0.0
FR;04;2021-02-06;6;0;101;1;0.0;0.0
FR;04;2021-02-07;0;0;101;1;0.0;0.0
FR;04;2021-02-08;1;1;102;2;0.0;0.0
FR;04;2021-02-09;2;0;104;2;0.0;0.0
FR;04;2021-02-10;2;0;106;2;0.0;0.0
FR;04;2021-02-11;5;0;111;2;0.0;0.0
FR;04;2021-02-12;2;1;113;3;0.0;0.0
FR;04;2021-02-13;1;0;114;3;0.0;0.0
FR;04;2021-02-14;0;0;114;3;0.0;0.0
FR;04;2021-02-15;3;1;117;4;0.0;0.0
FR;04;2021-02-16;6;0;123;4;0.0;0.0
FR;04;2021-02-17;4;0;127;4;0.0;0.0
FR;04;2021-02-18;8;1;135;5;0.0;0.0
FR;04;2021-02-19;2;2;137;7;0.0;0.0
FR;04;2021-02-20;2;0;139;7;0.0;0.0
FR;04;2021-02-21;1;0;140;7;0.0;0.0
FR;04;2021-02-22;1;0;141;7;0.0;0.0
FR;04;2021-02-23;4;0;145;7;0.0;0.0
FR;04;2021-02-24;7;0;152;7;0.0;0.0
FR;04;2021-02-25;7;0;159;7;0.0;0.0
FR;04;2021-02-26;8;0;167;7;0.0;0.0
FR;04;2021-02-27;4;0;171;7;0.0;0.0
FR;04;2021-02-28;2;1;173;8;0.0;0.0
FR;04;2021-03-01;7;2;180;10;0.0;0.0
FR;04;2021-03-02;9;1;189;11;0.0;0.0
FR;04;2021-03-03;5;1;194;12;0.0;0.0
FR;04;2021-03-04;6;0;200;12;0.0;0.0
FR;04;2021-03-05;9;3;209;15;0.0;0.0
FR;04;2021-03-06;17;1;226;16;0.0;0.0
FR;04;2021-03-07;8;0;234;16;0.0;0.0
FR;04;2021-03-08;7;3;241;19;0.0;0.0
FR;04;2021-03-09;11;0;252;19;0.0;0.0
FR;04;2021-03-10;12;0;264;19;0.0;0.0
FR;04;2021-03-11;8;2;272;21;0.0;0.0
FR;04;2021-03-12;8;1;280;22;0.0;0.0
FR;04;2021-03-13;7;0;287;22;0.0;0.0
FR;04;2021-03-14;4;0;291;22;0.0;0.0
FR;04;2021-03-15;11;0;302;22;0.0;0.0
FR;04;2021-03-16;5;0;307;22;0.0;0.0
FR;04;2021-03-17;6;1;313;23;0.0;0.0
FR;04;2021-03-18;15;3;328;26;0.0;0.0
FR;04;2021-03-19;9;1;337;27;0.0;0.0
FR;04;2021-03-20;14;0;351;27;0.0;0.0
FR;04;2021-03-21;7;0;358;27;0.0;0.0
FR;04;2021-03-22;9;1;367;28;0.0;0.0
FR;04;2021-03-23;6;0;373;28;0.0;0.0
FR;04;2021-03-24;11;3;384;31;0.0;0.0
FR;04;2021-03-25;21;0;405;31;0.0;0.0
FR;04;2021-03-26;7;2;412;33;0.0;0.0
FR;04;2021-03-27;9;0;421;33;0.0;0.0
FR;04;2021-03-28;4;0;425;33;0.0;0.0
FR;04;2021-03-29;10;1;435;34;0.0;0.0
FR;04;2021-03-30;19;1;454;35;0.0;0.0
FR;04;2021-03-31;10;2;464;37;0.0;0.0
FR;04;2021-04-01;21;0;485;37;0.0;0.0
FR;04;2021-04-02;12;3;497;40;0.0;0.0
FR;04;2021-04-03;7;1;504;41;0.0;0.0
FR;04;2021-04-04;3;0;507;41;0.0;0.0
FR;04;2021-04-05;4;0;511;41;0.0;0.0
FR;04;2021-04-06;13;1;524;42;0.0;0.0
FR;04;2021-04-07;13;4;537;46;0.0;0.0
FR;04;2021-04-08;15;0;552;46;0.0;0.0
FR;04;2021-04-09;23;2;575;48;0.0;0.0
FR;04;2021-04-10;8;1;583;49;0.0;0.0
FR;04;2021-04-11;7;0;590;49;0.0;0.0
FR;04;2021-04-12;16;0;606;49;0.0;0.0
FR;04;2021-04-13;16;2;622;51;0.0;0.0
FR;04;2021-04-14;9;4;631;55;0.0;0.0
FR;04;2021-04-15;21;0;652;55;0.0;0.0
FR;04;2021-04-16;18;4;670;59;0.0;0.0
FR;04;2021-04-17;12;4;682;63;0.0;0.0
FR;04;2021-04-18;2;0;684;63;0.0;0.0
FR;04;2021-04-19;15;2;699;65;0.0;0.0
FR;04;2021-04-20;17;2;716;67;0.0;0.0
FR;04;2021-04-21;15;1;731;68;0.0;0.0
FR;04;2021-04-22;22;4;753;72;0.0;0.0
FR;04;2021-04-23;35;15;788;87;0.0;0.0
FR;04;2021-04-24;13;0;801;87;0.0;0.0
FR;04;2021-04-25;3;1;804;88;0.0;0.0
FR;04;2021-04-26;19;5;823;93;0.0;0.0
FR;04;2021-04-27;15;2;838;95;0.0;0.0
FR;04;2021-04-28;18;5;856;100;0.0;0.0
FR;04;2021-04-29;21;4;877;104;0.0;0.0
FR;04;2021-04-30;13;2;890;106;0.0;0.0
FR;04;2021-05-01;17;1;907;107;0.0;0.0
FR;04;2021-05-02;5;0;912;107;0.0;0.0
FR;04;2021-05-03;14;1;926;108;0.0;0.0
FR;04;2021-05-04;20;9;946;117;0.0;0.0
FR;04;2021-05-05;33;6;979;123;0.0;0.0
FR;04;2021-05-06;24;11;1003;134;0.0;0.0
FR;04;2021-05-07;23;6;1026;140;0.0;0.0
FR;04;2021-05-08;44;1;1070;141;0.0;0.0
FR;04;2021-05-09;8;1;1078;142;0.0;0.0
FR;04;2021-05-10;24;6;1102;148;0.0;0.0
FR;04;2021-05-11;29;8;1131;156;0.0;0.0
FR;04;2021-05-12;38;8;1169;164;0.0;0.0
FR;04;2021-05-13;49;4;1218;168;0.0;0.0
FR;04;2021-05-14;58;10;1276;178;0.0;0.0
FR;04;2021-05-15;38;1;1314;179;0.0;0.0
FR;04;2021-05-16;22;1;1336;180;0.0;0.0
FR;04;2021-05-17;28;5;1364;185;0.0;0.0
FR;04;2021-05-18;62;8;1426;193;0.0;0.0
FR;04;2021-05-19;43;5;1469;198;0.0;0.0
FR;04;2021-05-20;56;5;1525;203;0.0;0.0
FR;04;2021-05-21;55;10;1580;213;0.0;0.0
FR;04;2021-05-22;34;2;1614;215;0.0;0.0
FR;04;2021-05-23;15;1;1629;216;0.0;0.0
FR;04;2021-05-24;35;4;1664;220;0.0;0.0
FR;04;2021-05-25;47;7;1711;227;0.0;0.0
FR;04;2021-05-26;42;5;1753;232;0.0;0.0
FR;04;2021-05-27;56;10;1809;242;0.0;0.0
FR;04;2021-05-28;50;10;1859;252;0.1;0.0
FR;04;2021-05-29;32;4;1891;256;0.1;0.0
FR;04;2021-05-30;13;1;1904;257;0.1;0.0
FR;04;2021-05-31;50;10;1954;267;0.1;0.0
FR;04;2021-06-01;46;13;2000;280;0.1;0.0
FR;04;2021-06-02;32;8;2032;288;0.1;0.0
FR;04;2021-06-03;44;12;2076;300;0.1;0.0
FR;04;2021-06-04;50;8;2126;308;0.1;0.0
FR;04;2021-06-05;33;9;2159;317;0.1;0.0
FR;04;2021-06-06;18;3;2177;320;0.1;0.0
FR;04;2021-06-07;44;10;2221;330;0.1;0.0
FR;04;2021-06-08;43;9;2264;339;0.1;0.0
FR;04;2021-06-09;32;12;2296;351;0.1;0.0
FR;04;2021-06-10;44;8;2340;359;0.1;0.0
FR;04;2021-06-11;33;10;2373;369;0.1;0.0
FR;04;2021-06-12;21;8;2394;377;0.1;0.0
FR;04;2021-06-13;14;2;2408;379;0.1;0.0
FR;04;2021-06-14;37;11;2445;390;0.1;0.0
FR;04;2021-06-15;24;16;2469;406;0.1;0.0
FR;04;2021-06-16;39;15;2508;421;0.1;0.0
FR;04;2021-06-17;42;16;2550;437;0.1;0.0
FR;04;2021-06-18;26;20;2576;457;0.1;0.0
FR;04;2021-06-19;19;11;2595;468;0.1;0.0
FR;04;2021-06-20;16;3;2611;471;0.1;0.0
FR;04;2021-06-21;32;13;2643;484;0.1;0.0
FR;04;2021-06-22;34;15;2677;499;0.1;0.0
FR;04;2021-06-23;29;24;2706;523;0.1;0.0
FR;04;2021-06-24;32;22;2738;545;0.1;0.0
FR;04;2021-06-25;28;26;2766;571;0.1;0.0
FR;04;2021-06-26;27;12;2793;583;0.1;0.0
FR;04;2021-06-27;13;9;2806;592;0.1;0.0
FR;04;2021-06-28;23;26;2829;618;0.1;0.0
FR;04;2021-06-29;39;30;2868;648;0.1;0.0
FR;04;2021-06-30;36;11;2904;659;0.1;0.0
FR;04;2021-07-01;37;36;2941;695;0.1;0.0
FR;04;2021-07-02;30;22;2971;717;0.1;0.0
FR;04;2021-07-03;18;14;2989;731;0.1;0.0
FR;04;2021-07-04;7;5;2996;736;0.1;0.0
FR;04;2021-07-05;22;23;3018;759;0.1;0.0
FR;04;2021-07-06;19;22;3037;781;0.1;0.0
FR;04;2021-07-07;26;27;3063;808;0.1;0.0
FR;04;2021-07-08;31;26;3094;834;0.1;0.0
FR;04;2021-07-09;28;19;3122;853;0.1;0.0
FR;04;2021-07-10;16;13;3138;866;0.1;0.0
FR;04;2021-07-11;11;9;3149;875;0.1;0.0
FR;04;2021-07-12;26;19;3175;894;0.1;0.0
FR;04;2021-07-13;37;30;3212;924;0.1;0.0
FR;04;2021-07-14;19;11;3231;935;0.1;0.0
FR;04;2021-07-15;43;25;3274;960;0.1;0.0
FR;04;2021-07-16;45;32;3319;992;0.1;0.0
FR;04;2021-07-17;42;27;3361;1019;0.1;0.0
FR;04;2021-07-18;9;13;3370;1032;0.1;0.0
FR;04;2021-07-19;34;27;3404;1059;0.1;0.0
FR;04;2021-07-20;44;43;3448;1102;0.1;0.0
FR;04;2021-07-21;29;35;3477;1137;0.1;0.0
FR;04;2021-07-22;41;35;3518;1172;0.1;0.0
FR;04;2021-07-23;48;25;3566;1197;0.1;0.0
FR;04;2021-07-24;27;28;3593;1225;0.1;0.0
FR;04;2021-07-25;5;7;3598;1232;0.1;0.0
FR;04;2021-07-26;30;32;3628;1264;0.1;0.0
FR;04;2021-07-27;36;36;3664;1300;0.1;0.0
FR;04;2021-07-28;31;38;3695;1338;0.1;0.0
FR;04;2021-07-29;40;26;3735;1364;0.1;0.0
FR;04;2021-07-30;30;23;3765;1387;0.1;0.0
FR;04;2021-07-31;24;16;3789;1403;0.1;0.0
FR;04;2021-08-01;6;1;3795;1404;0.1;0.0
FR;04;2021-08-02;27;28;3822;1432;0.1;0.0
FR;04;2021-08-03;34;28;3856;1460;0.1;0.0
FR;04;2021-08-04;29;18;3885;1478;0.1;0.0
FR;04;2021-08-05;27;24;3912;1502;0.1;0.0
FR;04;2021-08-06;29;17;3941;1519;0.1;0.0
FR;04;2021-08-07;9;10;3950;1529;0.1;0.0
FR;04;2021-08-08;7;7;3957;1536;0.1;0.0
FR;04;2021-08-09;15;27;3972;1563;0.1;0.0
FR;04;2021-08-10;28;21;4000;1584;0.1;0.0
FR;04;2021-08-11;21;16;4021;1600;0.1;0.0
FR;04;2021-08-12;23;33;4044;1633;0.1;0.0
FR;04;2021-08-13;25;13;4069;1646;0.1;0.0
FR;04;2021-08-14;16;18;4085;1664;0.1;0.0
FR;04;2021-08-15;0;3;4085;1667;0.1;0.0
FR;04;2021-08-16;16;30;4101;1697;0.1;0.0
FR;04;2021-08-17;19;23;4120;1720;0.1;0.0
FR;04;2021-08-18;32;16;4152;1736;0.1;0.0
FR;04;2021-08-19;17;17;4169;1753;0.1;0.0
FR;04;2021-08-20;19;26;4188;1779;0.1;0.0
FR;04;2021-08-21;8;8;4196;1787;0.1;0.0
FR;04;2021-08-22;3;7;4199;1794;0.1;0.0
FR;04;2021-08-23;12;15;4211;1809;0.1;0.0
FR;04;2021-08-24;14;21;4225;1830;0.1;0.0
FR;04;2021-08-25;12;12;4237;1842;0.1;0.1
FR;04;2021-08-26;15;24;4252;1866;0.1;0.1
FR;04;2021-08-27;13;28;4265;1894;0.1;0.1
FR;04;2021-08-28;6;12;4271;1906;0.1;0.1
FR;04;2021-08-29;3;1;4274;1907;0.1;0.1
FR;04;2021-08-30;12;10;4286;1917;0.1;0.1
FR;04;2021-08-31;10;19;4296;1936;0.1;0.1
FR;04;2021-09-01;17;19;4313;1955;0.1;0.1
FR;04;2021-09-02;12;12;4325;1967;0.1;0.1
FR;04;2021-09-03;15;17;4340;1984;0.1;0.1
FR;04;2021-09-04;13;14;4353;1998;0.1;0.1
FR;04;2021-09-05;6;1;4359;1999;0.1;0.1
FR;04;2021-09-06;8;22;4367;2021;0.1;0.1
FR;04;2021-09-07;4;11;4371;2032;0.1;0.1
FR;11;2020-12-27;0;0;0;0;0.0;0.0
FR;11;2020-12-28;0;0;0;0;0.0;0.0
FR;11;2020-12-29;0;0;0;0;0.0;0.0
FR;11;2020-12-30;0;0;0;0;0.0;0.0
FR;11;2020-12-31;0;0;0;0;0.0;0.0
FR;11;2021-01-01;0;0;0;0;0.0;0.0
FR;11;2021-01-02;0;0;0;0;0.0;0.0
FR;11;2021-01-03;0;0;0;0;0.0;0.0
FR;11;2021-01-04;0;0;0;0;0.0;0.0
FR;11;2021-01-05;0;0;0;0;0.0;0.0
FR;11;2021-01-06;0;0;0;0;0.0;0.0
FR;11;2021-01-07;0;0;0;0;0.0;0.0
FR;11;2021-01-08;1;0;1;0;0.0;0.0
FR;11;2021-01-09;0;0;1;0;0.0;0.0
FR;11;2021-01-10;0;0;1;0;0.0;0.0
FR;11;2021-01-11;0;0;1;0;0.0;0.0
FR;11;2021-01-12;0;0;1;0;0.0;0.0
FR;11;2021-01-13;1;0;2;0;0.0;0.0
FR;11;2021-01-14;0;0;2;0;0.0;0.0
FR;11;2021-01-15;0;0;2;0;0.0;0.0
FR;11;2021-01-16;1;0;3;0;0.0;0.0
FR;11;2021-01-17;0;0;3;0;0.0;0.0
FR;11;2021-01-18;1;0;4;0;0.0;0.0
FR;11;2021-01-19;0;0;4;0;0.0;0.0
FR;11;2021-01-20;0;0;4;0;0.0;0.0
FR;11;2021-01-21;2;0;6;0;0.0;0.0
FR;11;2021-01-22;3;0;9;0;0.0;0.0
FR;11;2021-01-23;0;0;9;0;0.0;0.0
FR;11;2021-01-24;0;0;9;0;0.0;0.0
FR;11;2021-01-25;0;0;9;0;0.0;0.0
FR;11;2021-01-26;1;0;10;0;0.0;0.0
FR;11;2021-01-27;1;0;11;0;0.0;0.0
FR;11;2021-01-28;0;0;11;0;0.0;0.0
FR;11;2021-01-29;3;0;14;0;0.0;0.0
FR;11;2021-01-30;0;0;14;0;0.0;0.0
FR;11;2021-01-31;0;0;14;0;0.0;0.0
FR;11;2021-02-01;0;0;14;0;0.0;0.0
FR;11;2021-02-02;0;0;14;0;0.0;0.0
FR;11;2021-02-03;0;0;14;0;0.0;0.0
FR;11;2021-02-04;1;0;15;0;0.0;0.0
FR;11;2021-02-05;0;0;15;0;0.0;0.0
FR;11;2021-02-06;1;0;16;0;0.0;0.0
FR;11;2021-02-07;0;0;16;0;0.0;0.0
FR;11;2021-02-08;0;0;16;0;0.0;0.0
FR;11;2021-02-09;1;0;17;0;0.0;0.0
FR;11;2021-02-10;1;0;18;0;0.0;0.0
FR;11;2021-02-11;0;0;18;0;0.0;0.0
FR;11;2021-02-12;1;0;19;0;0.0;0.0
FR;11;2021-02-13;0;1;19;1;0.0;0.0
FR;11;2021-02-14;0;0;19;1;0.0;0.0
FR;11;2021-02-15;2;0;21;1;0.0;0.0
FR;11;2021-02-16;0;0;21;1;0.0;0.0
FR;11;2021-02-17;0;0;21;1;0.0;0.0
FR;11;2021-02-18;0;1;21;2;0.0;0.0
FR;11;2021-02-19;3;0;24;2;0.0;0.0
FR;11;2021-02-20;1;0;25;2;0.0;0.0
FR;11;2021-02-21;0;0;25;2;0.0;0.0
FR;11;2021-02-22;1;0;26;2;0.0;0.0
FR;11;2021-02-23;0;0;26;2;0.0;0.0
FR;11;2021-02-24;0;0;26;2;0.0;0.0
FR;11;2021-02-25;1;0;27;2;0.0;0.0
FR;11;2021-02-26;2;0;29;2;0.0;0.0
FR;11;2021-02-27;2;0;31;2;0.0;0.0
FR;11;2021-02-28;0;0;31;2;0.0;0.0
FR;11;2021-03-01;0;0;31;2;0.0;0.0
FR;11;2021-03-02;2;1;33;3;0.0;0.0
FR;11;2021-03-03;3;0;36;3;0.0;0.0
FR;11;2021-03-04;1;0;37;3;0.0;0.0
FR;11;2021-03-05;3;0;40;3;0.0;0.0
FR;11;2021-03-06;1;0;41;3;0.0;0.0
FR;11;2021-03-07;0;0;41;3;0.0;0.0
FR;11;2021-03-08;1;0;42;3;0.0;0.0
FR;11;2021-03-09;2;0;44;3;0.0;0.0
FR;11;2021-03-10;1;1;45;4;0.0;0.0
FR;11;2021-03-11;6;0;51;4;0.0;0.0
FR;11;2021-03-12;5;0;56;4;0.0;0.0
FR;11;2021-03-13;3;1;59;5;0.0;0.0
