fra;jour;n_dose1;n_complet;n_cum_dose1;n_cum_complet;couv_dose1;couv_complet
FR;2020-12-27;146;4;146;4;0.0;0.0
FR;2020-12-28;187;1;333;5;0.0;0.0
FR;2020-12-29;141;0;474;5;0.0;0.0
FR;2020-12-30;168;0;642;5;0.0;0.0
FR;2020-12-31;144;0;786;5;0.0;0.0
FR;2021-01-01;134;0;920;5;0.0;0.0
FR;2021-01-02;128;5;1048;10;0.0;0.0
FR;2021-01-03;154;0;1202;10;0.0;0.0
FR;2021-01-04;1573;9;2775;19;0.0;0.0
FR;2021-01-05;5521;22;8296;41;0.0;0.0
FR;2021-01-06;11421;51;19717;92;0.0;0.0
FR;2021-01-07;28844;89;48561;181;0.1;0.0
FR;2021-01-08;36491;123;85052;304;0.1;0.0
FR;2021-01-09;11001;24;96053;328;0.1;0.0
FR;2021-01-10;5693;13;101746;341;0.2;0.0
FR;2021-01-11;39380;134;141126;475;0.2;0.0
FR;2021-01-12;61312;209;202438;684;0.3;0.0
FR;2021-01-13;64261;270;266699;954;0.4;0.0
FR;2021-01-14;80782;804;347481;1758;0.5;0.0
FR;2021-01-15;68091;400;415572;2158;0.6;0.0
FR;2021-01-16;19863;147;435435;2305;0.6;0.0
FR;2021-01-17;10579;77;446014;2382;0.7;0.0
FR;2021-01-18;84924;447;530938;2829;0.8;0.0
FR;2021-01-19;129351;556;660289;3385;1.0;0.0
FR;2021-01-20;136109;535;796398;3920;1.2;0.0
FR;2021-01-21;156456;556;952854;4476;1.4;0.0
FR;2021-01-22;119589;518;1072443;4994;1.6;0.0
FR;2021-01-23;38025;119;1110468;5113;1.7;0.0
FR;2021-01-24;9451;47;1119919;5160;1.7;0.0
FR;2021-01-25;77309;1432;1197228;6592;1.8;0.0
FR;2021-01-26;99425;3372;1296653;9964;1.9;0.0
FR;2021-01-27;106200;5935;1402853;15899;2.1;0.0
FR;2021-01-28;123112;14775;1525965;30674;2.3;0.0
FR;2021-01-29;91329;17616;1617294;48290;2.4;0.1
FR;2021-01-30;28805;4291;1646099;52581;2.5;0.1
FR;2021-01-31;4964;1691;1651063;54272;2.5;0.1
