fra;semaine;nb_crib;nb_pos;tx_crib;nb_A0;nb_A1;tx_A1;nb_B0;nb_B1;tx_B1;nb_C0;nb_C1;tx_C1
FR;2021-05-31-2021-06-06;18354.00;61489.00;29.80;13200.00;2675.00;16.90;5873.00;23.00;0.40;5541.00;121.00;2.10
FR;2021-06-01-2021-06-07;18194.00;56000.00;32.50;12928.00;2817.00;17.90;6160.00;24.00;0.40;5858.00;163.00;2.70
FR;2021-06-02-2021-06-08;18057.00;52243.00;34.60;12696.00;2952.00;18.90;6441.00;32.00;0.50;6213.00;208.00;3.20
FR;2021-06-03-2021-06-09;17656.00;47981.00;36.80;12267.00;3003.00;19.70;6708.00;36.00;0.50;6438.00;275.00;4.10
FR;2021-06-04-2021-06-10;16836.00;43868.00;38.40;11607.00;2923.00;20.10;6959.00;44.00;0.60;6686.00;304.00;4.30
FR;2021-06-05-2021-06-11;16315.00;40285.00;40.50;11203.00;2887.00;20.50;7034.00;45.00;0.60;6759.00;320.00;4.50
FR;2021-06-06-2021-06-12;16041.00;37998.00;42.20;11023.00;2809.00;20.30;7151.00;43.00;0.60;6854.00;356.00;4.90
FR;2021-06-07-2021-06-13;15914.00;37479.00;42.50;10935.00;2784.00;20.30;7118.00;48.00;0.70;6821.00;362.00;5.00
FR;2021-06-08-2021-06-14;14987.00;33088.00;45.30;10284.00;2585.00;20.10;7485.00;60.00;0.80;7199.00;477.00;6.20
FR;2021-06-09-2021-06-15;14236.00;30332.00;46.90;9710.00;2450.00;20.10;7703.00;60.00;0.80;7379.00;564.00;7.10
FR;2021-06-10-2021-06-16;13613.00;28034.00;48.60;9351.00;2258.00;19.50;8013.00;70.00;0.90;7687.00;621.00;7.50
FR;2021-06-11-2021-06-17;13323.00;26245.00;50.80;9083.00;2256.00;19.90;8368.00;78.00;0.90;7997.00;737.00;8.40
FR;2021-06-12-2021-06-18;12820.00;24137.00;53.10;8675.00;2120.00;19.60;8578.00;85.00;1.00;8103.00;889.00;9.90
FR;2021-06-13-2021-06-19;12395.00;23103.00;53.70;8321.00;2073.00;19.90;8508.00;84.00;1.00;8013.00;925.00;10.30
