epci2020,semaine_glissante,clage_65,ti
200030195,2021-07-10-2021-07-16,0,173.5
200030195,2021-07-10-2021-07-16,65,26
200030195,2021-07-11-2021-07-17,0,203.4
200030195,2021-07-11-2021-07-17,65,29.6
200030195,2021-07-12-2021-07-18,0,209.6
200030195,2021-07-12-2021-07-18,65,30.3
200030195,2021-07-13-2021-07-19,0,273.6
200030195,2021-07-13-2021-07-19,65,39.8
200030195,2021-07-14-2021-07-20,0,335.2
200030195,2021-07-14-2021-07-20,65,48.5
200030195,2021-07-15-2021-07-21,0,429.1
200030195,2021-07-15-2021-07-21,65,66
200030195,2021-07-16-2021-07-22,0,481.1
200030195,2021-07-16-2021-07-22,65,74.8
200030195,2021-07-17-2021-07-23,0,547.5
200030195,2021-07-17-2021-07-23,65,86.7
200030195,2021-07-18-2021-07-24,0,597.5
200030195,2021-07-18-2021-07-24,65,98.1
200030195,2021-07-19-2021-07-25,0,609.1
200030195,2021-07-19-2021-07-25,65,101.2
200030195,2021-07-20-2021-07-26,0,680.5
200030195,2021-07-20-2021-07-26,65,130.4
200030195,2021-07-21-2021-07-27,0,723.1
200030195,2021-07-21-2021-07-27,65,148.7
200030195,2021-07-22-2021-07-28,0,741.7
200030195,2021-07-22-2021-07-28,65,161
200030195,2021-07-23-2021-07-29,0,752.3
200030195,2021-07-23-2021-07-29,65,159.1
200030195,2021-07-24-2021-07-30,0,752.1
200030195,2021-07-24-2021-07-30,65,174.5
200030195,2021-07-25-2021-07-31,0,733.7
200030195,2021-07-25-2021-07-31,65,180.6
200030195,2021-07-26-2021-08-01,0,725.5
200030195,2021-07-26-2021-08-01,65,182.1
200030195,2021-07-27-2021-08-02,0,717.1
200030195,2021-07-27-2021-08-02,65,193.3
200030195,2021-07-28-2021-08-03,0,694.8
200030195,2021-07-28-2021-08-03,65,193.8
200030195,2021-07-29-2021-08-04,0,669.4
200030195,2021-07-29-2021-08-04,65,204.3
200030195,2021-07-30-2021-08-05,0,647
200030195,2021-07-30-2021-08-05,65,221.3
200030195,2021-07-31-2021-08-06,0,629.4
200030195,2021-07-31-2021-08-06,65,208.8
200030195,2021-08-01-2021-08-07,0,627.5
200030195,2021-08-01-2021-08-07,65,200.9
200030195,2021-08-02-2021-08-08,0,632.2
200030195,2021-08-02-2021-08-08,65,200.9
200030195,2021-08-03-2021-08-09,0,613
200030195,2021-08-03-2021-08-09,65,192
200030195,2021-08-04-2021-08-10,0,605
200030195,2021-08-04-2021-08-10,65,200.6
200030195,2021-08-05-2021-08-11,0,608.1
200030195,2021-08-05-2021-08-11,65,195
200030195,2021-08-06-2021-08-12,0,599.6
200030195,2021-08-06-2021-08-12,65,195.4
200030195,2021-08-07-2021-08-13,0,587.5
200030195,2021-08-07-2021-08-13,65,209.8
200030195,2021-08-08-2021-08-14,0,576.4
200030195,2021-08-08-2021-08-14,65,212
200030195,2021-08-09-2021-08-15,0,571.4
200030195,2021-08-09-2021-08-15,65,215.1
200054807,2021-07-10-2021-07-16,0,139.3
200054807,2021-07-10-2021-07-16,65,25.5
200054807,2021-07-11-2021-07-17,0,163.1
200054807,2021-07-11-2021-07-17,65,28.6
200054807,2021-07-12-2021-07-18,0,175.8
200054807,2021-07-12-2021-07-18,65,29.6
200054807,2021-07-13-2021-07-19,0,233.1
200054807,2021-07-13-2021-07-19,65,32.6
200054807,2021-07-14-2021-07-20,0,277.4
200054807,2021-07-14-2021-07-20,65,40.1
200054807,2021-07-15-2021-07-21,0,343
200054807,2021-07-15-2021-07-21,65,51.3
200054807,2021-07-16-2021-07-22,0,369
200054807,2021-07-16-2021-07-22,65,60.5
200054807,2021-07-17-2021-07-23,0,411.4
200054807,2021-07-17-2021-07-23,65,74.6
200054807,2021-07-18-2021-07-24,0,439.7
200054807,2021-07-18-2021-07-24,65,82.6
200054807,2021-07-19-2021-07-25,0,448.1
200054807,2021-07-19-2021-07-25,65,83.6
200054807,2021-07-20-2021-07-26,0,498.3
200054807,2021-07-20-2021-07-26,65,105.8
200054807,2021-07-21-2021-07-27,0,528.7
200054807,2021-07-21-2021-07-27,65,121.1
200054807,2021-07-22-2021-07-28,0,553.2
200054807,2021-07-22-2021-07-28,65,134.7
200054807,2021-07-23-2021-07-29,0,585.5
200054807,2021-07-23-2021-07-29,65,146.9
200054807,2021-07-24-2021-07-30,0,602.2
200054807,2021-07-24-2021-07-30,65,154.8
200054807,2021-07-25-2021-07-31,0,612.5
200054807,2021-07-25-2021-07-31,65,161.9
200054807,2021-07-26-2021-08-01,0,617.1
200054807,2021-07-26-2021-08-01,65,164
200054807,2021-07-27-2021-08-02,0,643.1
200054807,2021-07-27-2021-08-02,65,180.4
200054807,2021-07-28-2021-08-03,0,651.2
200054807,2021-07-28-2021-08-03,65,186.6
200054807,2021-07-29-2021-08-04,0,658.9
200054807,2021-07-29-2021-08-04,65,196
200054807,2021-07-30-2021-08-05,0,670.4
200054807,2021-07-30-2021-08-05,65,210.9
200054807,2021-07-31-2021-08-06,0,678.4
200054807,2021-07-31-2021-08-06,65,219.9
200054807,2021-08-01-2021-08-07,0,688.1
200054807,2021-08-01-2021-08-07,65,222.1
