numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07005;20210201000000;98870;-40;6;110;2.200000;279.150000;279.150000;100;2500;10;mq;mq;mq;mq;mq;mq;mq;mq;98010;mq;mq;-990;mq;mq;mq;mq;276.750000;mq;mq;3.000000;3.800000;-10;mq;0.000000;mq;mq;0.400000;0.600000;2.800000;5.600000;5.600000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07015;20210201000000;98950;-110;6;70;2.700000;277.550000;277.150000;97;1780;51;mq;mq;100;8;80;mq;mq;mq;98380;mq;mq;-1050;mq;mq;mq;mq;276.150000;mq;mq;3.400000;3.600000;-10;2;0.000000;mq;mq;-0.100000;-0.100000;1.200000;1.800000;1.800000;mq;mq;mq;mq;8;mq;90;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07020;20210201000000;98870;170;3;350;2.800000;282.550000;281.950000;96;10000;2;2;mq;100;8;800;37;mq;mq;98760;mq;mq;-850;mq;mq;mq;mq;mq;mq;mq;3.700000;5.100000;-10;mq;mq;mq;mq;0.000000;0.200000;0.400000;4.000000;4.000000;mq;mq;mq;mq;8;7;600;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07027;20210201000000;98870;110;3;250;4.700000;282.750000;281.950000;95;11510;0;mq;mq;100;8;450;mq;mq;mq;98080;mq;mq;-700;mq;mq;mq;mq;280.750000;mq;mq;6.700000;8.700000;-10;2;0.000000;mq;mq;0.000000;0.000000;-0.100000;2.800000;3.000000;mq;mq;mq;mq;8;mq;300;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07037;20210201000000;98850;30;3;240;2.400000;281.150000;281.150000;100;7110;0;mq;mq;100;8;250;mq;mq;mq;97050;mq;mq;-780;mq;mq;mq;mq;279.850000;mq;mq;2.900000;3.600000;-10;mq;0.000000;mq;mq;-0.100000;0.400000;1.800000;5.600000;5.600000;mq;mq;mq;mq;8;mq;240;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07072;20210201000000;98920;-150;6;120;0.700000;281.150000;280.850000;98;4540;58;mq;mq;100;8;450;mq;mq;mq;97790;mq;mq;-740;mq;mq;mq;mq;279.350000;mq;mq;2.000000;2.800000;-10;2;0.000000;mq;mq;0.200000;1.000000;4.000000;4.400000;5.400000;mq;mq;mq;mq;7;mq;300;7;mq;630;8;mq;1140;mq;mq;mq;
07110;20210201000000;99200;200;1;290;4.500000;283.550000;282.750000;95;6420;0;mq;mq;100;8;250;mq;mq;mq;98040;mq;mq;-510;mq;mq;mq;mq;282.750000;mq;mq;7.500000;9.200000;-10;2;0.000000;mq;mq;0.200000;0.800000;1.000000;5.600000;8.800000;mq;mq;mq;mq;8;mq;210;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07117;20210201000000;99070;230;2;250;5.100000;283.650000;283.450000;99;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;98380;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;11.800000;-10;mq;mq;mq;mq;mq;0.200000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07130;20210201000000;99090;120;2;240;3.600000;283.350000;282.850000;97;7940;52;mq;mq;100;8;250;mq;mq;mq;98650;mq;mq;-270;mq;mq;mq;mq;281.250000;mq;mq;5.900000;5.900000;-10;2;0.000000;mq;mq;-0.100000;-0.100000;0.200000;3.800000;3.800000;mq;mq;mq;mq;5;mq;210;6;mq;360;8;mq;540;mq;mq;mq;
07139;20210201000000;98960;70;3;230;3.800000;282.350000;281.450000;94;20000;0;mq;mq;100;8;450;mq;mq;mq;97250;mq;mq;-540;mq;mq;mq;mq;281.150000;mq;mq;5.900000;7.000000;-10;1;mq;mq;mq;0.000000;0.000000;0.600000;8.900000;9.300000;mq;mq;mq;mq;7;mq;480;8;mq;690;mq;mq;mq;mq;mq;mq;
07149;20210201000000;98890;-50;5;230;4.100000;282.550000;281.950000;96;48460;1;2;2;90;7;450;35;mq;mq;97830;mq;mq;-700;mq;mq;mq;mq;mq;mq;mq;6.700000;6.700000;-10;2;0.000000;0.000000;-60;0.000000;0.200000;2.700000;7.900000;8.500000;mq;mq;mq;mq;3;6;350;7;6;600;mq;mq;mq;mq;mq;mq;
