epci2020,nature,semaine_glissante,clage_65,ti_classe,td_classe,tp_classe
200069193,CC,2021-01-15-2021-01-21,0,[250;500[,[2500;Max],[10;15[
200069193,CC,2021-01-15-2021-01-21,65,[150;250[,[2000;2500[,[5;10[
200069193,CC,2021-01-16-2021-01-22,0,[250;500[,[2500;Max],[10;15[
200069193,CC,2021-01-16-2021-01-22,65,[50;150[,[2000;2500[,[5;10[
200069193,CC,2021-01-17-2021-01-23,0,[250;500[,[2500;Max],[10;15[
200069193,CC,2021-01-17-2021-01-23,65,[150;250[,[2000;2500[,[5;10[
200069193,CC,2021-01-18-2021-01-24,0,[250;500[,[2500;Max],[10;15[
200069193,CC,2021-01-18-2021-01-24,65,[50;150[,[2000;2500[,[5;10[
200069193,CC,2021-01-19-2021-01-25,0,[250;500[,[2500;Max],[10;15[
200069193,CC,2021-01-19-2021-01-25,65,[150;250[,[2000;2500[,[5;10[
200069193,CC,2021-01-20-2021-01-26,0,[250;500[,[2500;Max],[10;15[
200069193,CC,2021-01-20-2021-01-26,65,[150;250[,[2000;2500[,[5;10[
200069193,CC,2021-01-21-2021-01-27,0,[150;250[,[2500;Max],[5;10[
200069193,CC,2021-01-21-2021-01-27,65,[150;250[,[2000;2500[,[5;10[
200069193,CC,2021-01-22-2021-01-28,0,[150;250[,[2500;Max],[5;10[
200069193,CC,2021-01-22-2021-01-28,65,[50;150[,[2000;2500[,[5;10[
200069193,CC,2021-01-23-2021-01-29,0,[150;250[,[2500;Max],[5;10[
200069193,CC,2021-01-23-2021-01-29,65,[150;250[,[2000;2500[,[5;10[
200069193,CC,2021-01-24-2021-01-30,0,[150;250[,[2500;Max],[5;10[
200069193,CC,2021-01-24-2021-01-30,65,[50;150[,[2000;2500[,[5;10[
200069193,CC,2021-01-25-2021-01-31,0,[150;250[,[2500;Max],[5;10[
200069193,CC,2021-01-25-2021-01-31,65,[50;150[,[2000;2500[,[5;10[
200069193,CC,2021-01-26-2021-02-01,0,[150;250[,[2500;Max],[1;5[
200069193,CC,2021-01-26-2021-02-01,65,[50;150[,[1500;2000[,[1;5[
200069193,CC,2021-01-27-2021-02-02,0,[150;250[,[2500;Max],[5;10[
200069193,CC,2021-01-27-2021-02-02,65,[50;150[,[1500;2000[,[1;5[
200069193,CC,2021-01-28-2021-02-03,0,[150;250[,[2500;Max],[5;10[
200069193,CC,2021-01-28-2021-02-03,65,[150;250[,[2000;2500[,[5;10[
200069193,CC,2021-01-29-2021-02-04,0,[150;250[,[2500;Max],[5;10[
200069193,CC,2021-01-29-2021-02-04,65,[150;250[,[2000;2500[,[10;15[
200069193,CC,2021-01-30-2021-02-05,0,[150;250[,[2500;Max],[5;10[
200069193,CC,2021-01-30-2021-02-05,65,[250;500[,[2000;2500[,[10;15[
200069193,CC,2021-01-31-2021-02-06,0,[150;250[,[2500;Max],[5;10[
200069193,CC,2021-01-31-2021-02-06,65,[250;500[,[2000;2500[,[10;15[
200069193,CC,2021-02-01-2021-02-07,0,[150;250[,[2500;Max],[5;10[
200069193,CC,2021-02-01-2021-02-07,65,[250;500[,[2000;2500[,[15;20[
200069193,CC,2021-02-02-2021-02-08,0,[150;250[,[2500;Max],[5;10[
200069193,CC,2021-02-02-2021-02-08,65,[250;500[,[2000;2500[,[15;20[
200069193,CC,2021-02-03-2021-02-09,0,[150;250[,[2500;Max],[5;10[
200069193,CC,2021-02-03-2021-02-09,65,[250;500[,[2500;Max],[15;20[
200069193,CC,2021-02-04-2021-02-10,0,[150;250[,[2500;Max],[5;10[
200069193,CC,2021-02-04-2021-02-10,65,[250;500[,[2000;2500[,[15;20[
200069193,CC,2021-02-05-2021-02-11,0,[150;250[,[2500;Max],[5;10[
200069193,CC,2021-02-05-2021-02-11,65,[250;500[,[2000;2500[,[15;20[
200069193,CC,2021-02-06-2021-02-12,0,[150;250[,[2000;2500[,[5;10[
200069193,CC,2021-02-06-2021-02-12,65,[250;500[,[2000;2500[,[15;20[
200069193,CC,2021-02-07-2021-02-13,0,[150;250[,[2000;2500[,[5;10[
200069193,CC,2021-02-07-2021-02-13,65,[250;500[,[2000;2500[,[15;20[
200069193,CC,2021-02-08-2021-02-14,0,[150;250[,[2000;2500[,[5;10[
200069193,CC,2021-02-08-2021-02-14,65,[250;500[,[2000;2500[,[15;20[
200069193,CC,2021-02-09-2021-02-15,0,[150;250[,[2000;2500[,[5;10[
200069193,CC,2021-02-09-2021-02-15,65,[250;500[,[2000;2500[,[10;15[
200069193,CC,2021-02-10-2021-02-16,0,[150;250[,[2000;2500[,[5;10[
