dep;date_de_passage;sursaud_cl_age_corona;nbre_pass_corona;nbre_pass_tot;nbre_hospit_corona;nbre_pass_corona_h;nbre_pass_corona_f;nbre_pass_tot_h;nbre_pass_tot_f;nbre_hospit_corona_h;nbre_hospit_corona_f;nbre_acte_corona;nbre_acte_tot;nbre_acte_corona_h;nbre_acte_corona_f;nbre_acte_tot_h;nbre_acte_tot_f
01;2020-02-24;0;0;357;0;0;0;202;155;0;0;;;;;;
01;2020-02-24;A;0;73;0;;;;;;;;;;;;
01;2020-02-24;B;0;155;0;;;;;;;;;;;;
01;2020-02-24;C;0;61;0;;;;;;;;;;;;
01;2020-02-24;D;0;28;0;;;;;;;;;;;;
01;2020-02-24;E;0;40;0;;;;;;;;;;;;
01;2020-02-25;0;0;310;0;0;0;177;133;0;0;;;;;;
01;2020-02-25;A;0;70;0;;;;;;;;;;;;
01;2020-02-25;B;0;117;0;;;;;;;;;;;;
01;2020-02-25;C;0;53;0;;;;;;;;;;;;
01;2020-02-25;D;0;29;0;;;;;;;;;;;;
01;2020-02-25;E;0;41;0;;;;;;;;;;;;
01;2020-02-26;0;0;366;0;0;0;193;173;0;0;;;;;;
01;2020-02-26;A;0;79;0;;;;;;;;;;;;
01;2020-02-26;B;0;125;0;;;;;;;;;;;;
01;2020-02-26;C;0;67;0;;;;;;;;;;;;
01;2020-02-26;D;0;36;0;;;;;;;;;;;;
01;2020-02-26;E;0;59;0;;;;;;;;;;;;
01;2020-02-27;0;0;321;0;0;0;178;143;0;0;;;;;;
01;2020-02-27;A;0;77;0;;;;;;;;;;;;
01;2020-02-27;B;0;112;0;;;;;;;;;;;;
01;2020-02-27;C;0;70;0;;;;;;;;;;;;
01;2020-02-27;D;0;21;0;;;;;;;;;;;;
01;2020-02-27;E;0;41;0;;;;;;;;;;;;
01;2020-02-28;0;0;339;0;0;0;166;173;0;0;;;;;;
01;2020-02-28;A;0;91;0;;;;;;;;;;;;
01;2020-02-28;B;0;104;0;;;;;;;;;;;;
01;2020-02-28;C;0;65;0;;;;;;;;;;;;
01;2020-02-28;D;0;29;0;;;;;;;;;;;;
01;2020-02-28;E;0;50;0;;;;;;;;;;;;
01;2020-02-29;0;0;283;0;0;0;145;138;0;0;;;;;;
01;2020-02-29;A;0;52;0;;;;;;;;;;;;
01;2020-02-29;B;0;111;0;;;;;;;;;;;;
01;2020-02-29;C;0;56;0;;;;;;;;;;;;
01;2020-02-29;D;0;24;0;;;;;;;;;;;;
01;2020-02-29;E;0;40;0;;;;;;;;;;;;
01;2020-03-01;0;0;229;0;0;0;120;109;0;0;;;;;;
01;2020-03-01;A;0;31;0;;;;;;;;;;;;
01;2020-03-01;B;0;103;0;;;;;;;;;;;;
01;2020-03-01;C;0;46;0;;;;;;;;;;;;
01;2020-03-01;D;0;20;0;;;;;;;;;;;;
01;2020-03-01;E;0;29;0;;;;;;;;;;;;
01;2020-03-02;0;0;278;0;0;0;130;148;0;0;;;;;;
01;2020-03-02;A;0;46;0;;;;;;;;;;;;
01;2020-03-02;B;0;114;0;;;;;;;;;;;;
01;2020-03-02;C;0;50;0;;;;;;;;;;;;
01;2020-03-02;D;0;24;0;;;;;;;;;;;;
01;2020-03-02;E;0;44;0;;;;;;;;;;;;
01;2020-03-03;0;0;300;0;0;0;138;162;0;0;;;;;;
01;2020-03-03;A;0;59;0;;;;;;;;;;;;
01;2020-03-03;B;0;121;0;;;;;;;;;;;;
01;2020-03-03;C;0;64;0;;;;;;;;;;;;
01;2020-03-03;D;0;20;0;;;;;;;;;;;;
01;2020-03-03;E;0;36;0;;;;;;;;;;;;
01;2020-03-04;0;0;278;0;0;0;148;130;0;0;;;;;;
01;2020-03-04;A;0;41;0;;;;;;;;;;;;
01;2020-03-04;B;0;105;0;;;;;;;;;;;;
01;2020-03-04;C;0;65;0;;;;;;;;;;;;
01;2020-03-04;D;0;29;0;;;;;;;;;;;;
01;2020-03-04;E;0;38;0;;;;;;;;;;;;
01;2020-03-05;0;0;263;0;0;0;117;146;0;0;;;;;;
01;2020-03-05;A;0;52;0;;;;;;;;;;;;
01;2020-03-05;B;0;90;0;;;;;;;;;;;;
01;2020-03-05;C;0;46;0;;;;;;;;;;;;
01;2020-03-05;D;0;27;0;;;;;;;;;;;;
01;2020-03-05;E;0;48;0;;;;;;;;;;;;
01;2020-03-06;0;0;270;0;0;0;139;131;0;0;;;;;;
01;2020-03-06;A;0;49;0;;;;;;;;;;;;
01;2020-03-06;B;0;104;0;;;;;;;;;;;;
01;2020-03-06;C;0;48;0;;;;;;;;;;;;
01;2020-03-06;D;0;23;0;;;;;;;;;;;;
01;2020-03-06;E;0;46;0;;;;;;;;;;;;
01;2020-03-07;0;0;292;0;0;0;150;142;0;0;;;;;;
01;2020-03-07;A;0;48;0;;;;;;;;;;;;
01;2020-03-07;B;0;111;0;;;;;;;;;;;;
01;2020-03-07;C;0;56;0;;;;;;;;;;;;
01;2020-03-07;D;0;34;0;;;;;;;;;;;;
01;2020-03-07;E;0;43;0;;;;;;;;;;;;
01;2020-03-08;0;0;248;0;0;0;140;107;0;0;;;;;;
01;2020-03-08;A;0;56;0;;;;;;;;;;;;
01;2020-03-08;B;0;106;0;;;;;;;;;;;;
01;2020-03-08;C;0;42;0;;;;;;;;;;;;
01;2020-03-08;D;0;15;0;;;;;;;;;;;;
01;2020-03-08;E;0;29;0;;;;;;;;;;;;
01;2020-03-09;0;6;335;0;1;5;187;148;0;0;;;;;;
01;2020-03-09;A;0;67;0;;;;;;;;;;;;
01;2020-03-09;B;2;134;0;;;;;;;;;;;;
01;2020-03-09;C;3;58;0;;;;;;;;;;;;
01;2020-03-09;D;0;36;0;;;;;;;;;;;;
01;2020-03-09;E;1;40;0;;;;;;;;;;;;
01;2020-03-10;0;0;250;0;0;0;138;112;0;0;;;;;;
01;2020-03-10;A;0;38;0;;;;;;;;;;;;
01;2020-03-10;B;0;99;0;;;;;;;;;;;;
01;2020-03-10;C;0;51;0;;;;;;;;;;;;
01;2020-03-10;D;0;23;0;;;;;;;;;;;;
01;2020-03-10;E;0;39;0;;;;;;;;;;;;
01;2020-03-11;0;1;299;1;0;1;161;138;0;1;;;;;;
01;2020-03-11;A;0;51;0;;;;;;;;;;;;
01;2020-03-11;B;1;114;1;;;;;;;;;;;;
01;2020-03-11;C;0;66;0;;;;;;;;;;;;
01;2020-03-11;D;0;27;0;;;;;;;;;;;;
01;2020-03-11;E;0;41;0;;;;;;;;;;;;
01;2020-03-12;0;5;272;1;1;4;157;115;0;1;;;;;;
01;2020-03-12;A;0;65;0;;;;;;;;;;;;
01;2020-03-12;B;2;116;1;;;;;;;;;;;;
01;2020-03-12;C;2;49;0;;;;;;;;;;;;
01;2020-03-12;D;0;21;0;;;;;;;;;;;;
01;2020-03-12;E;1;21;0;;;;;;;;;;;;
01;2020-03-13;0;6;268;3;3;3;149;119;3;0;;;;;;
01;2020-03-13;A;1;46;0;;;;;;;;;;;;
01;2020-03-13;B;1;96;0;;;;;;;;;;;;
01;2020-03-13;C;2;59;2;;;;;;;;;;;;
01;2020-03-13;D;0;30;0;;;;;;;;;;;;
01;2020-03-13;E;2;37;1;;;;;;;;;;;;
01;2020-03-14;0;7;240;3;3;4;138;102;2;1;;;;;;
01;2020-03-14;A;0;45;0;;;;;;;;;;;;
01;2020-03-14;B;4;97;1;;;;;;;;;;;;
01;2020-03-14;C;1;50;0;;;;;;;;;;;;
01;2020-03-14;D;1;17;1;;;;;;;;;;;;
01;2020-03-14;E;1;31;1;;;;;;;;;;;;
01;2020-03-15;0;4;235;1;2;2;125;110;1;0;;;;;;
01;2020-03-15;A;0;37;0;;;;;;;;;;;;
01;2020-03-15;B;1;97;0;;;;;;;;;;;;
01;2020-03-15;C;0;51;0;;;;;;;;;;;;
01;2020-03-15;D;1;20;0;;;;;;;;;;;;
01;2020-03-15;E;2;30;1;;;;;;;;;;;;
01;2020-03-16;0;2;206;0;1;1;114;92;0;0;;;;;;
01;2020-03-16;A;0;36;0;;;;;;;;;;;;
01;2020-03-16;B;1;73;0;;;;;;;;;;;;
01;2020-03-16;C;1;48;0;;;;;;;;;;;;
01;2020-03-16;D;0;21;0;;;;;;;;;;;;
01;2020-03-16;E;0;28;0;;;;;;;;;;;;
01;2020-03-17;0;6;170;3;4;2;86;84;2;1;;;;;;
01;2020-03-17;A;0;36;0;;;;;;;;;;;;
01;2020-03-17;B;1;66;0;;;;;;;;;;;;
01;2020-03-17;C;5;33;3;;;;;;;;;;;;
01;2020-03-17;D;0;10;0;;;;;;;;;;;;
01;2020-03-17;E;0;25;0;;;;;;;;;;;;
01;2020-03-18;0;24;208;3;8;16;104;104;2;1;;;;;;
01;2020-03-18;A;2;32;0;;;;;;;;;;;;
01;2020-03-18;B;11;77;1;;;;;;;;;;;;
01;2020-03-18;C;8;57;1;;;;;;;;;;;;
01;2020-03-18;D;1;13;0;;;;;;;;;;;;
01;2020-03-18;E;2;29;1;;;;;;;;;;;;
01;2020-03-19;0;8;155;4;4;4;84;71;4;0;;;;;;
01;2020-03-19;A;0;21;0;;;;;;;;;;;;
01;2020-03-19;B;2;50;0;;;;;;;;;;;;
01;2020-03-19;C;3;41;2;;;;;;;;;;;;
01;2020-03-19;D;2;13;2;;;;;;;;;;;;
01;2020-03-19;E;1;30;0;;;;;;;;;;;;
01;2020-03-20;0;11;165;8;7;4;81;84;5;3;;;;;;
01;2020-03-20;A;0;26;0;;;;;;;;;;;;
01;2020-03-20;B;2;70;0;;;;;;;;;;;;
01;2020-03-20;C;3;29;3;;;;;;;;;;;;
01;2020-03-20;D;4;15;4;;;;;;;;;;;;
01;2020-03-20;E;2;25;1;;;;;;;;;;;;
01;2020-03-21;0;17;147;5;10;7;79;68;5;0;;;;;;
01;2020-03-21;A;0;18;0;;;;;;;;;;;;
01;2020-03-21;B;8;54;2;;;;;;;;;;;;
01;2020-03-21;C;5;34;0;;;;;;;;;;;;
01;2020-03-21;D;2;14;2;;;;;;;;;;;;
01;2020-03-21;E;2;27;1;;;;;;;;;;;;
01;2020-03-22;0;21;145;12;8;13;67;78;7;5;;;;;;
01;2020-03-22;A;0;16;0;;;;;;;;;;;;
01;2020-03-22;B;5;55;0;;;;;;;;;;;;
01;2020-03-22;C;8;29;6;;;;;;;;;;;;
01;2020-03-22;D;5;18;4;;;;;;;;;;;;
01;2020-03-22;E;3;27;2;;;;;;;;;;;;
01;2020-03-23;0;33;162;16;13;20;85;77;9;7;;;;;;
01;2020-03-23;A;0;10;0;;;;;;;;;;;;
01;2020-03-23;B;14;57;3;;;;;;;;;;;;
01;2020-03-23;C;9;44;4;;;;;;;;;;;;
01;2020-03-23;D;6;24;5;;;;;;;;;;;;
01;2020-03-23;E;4;27;4;;;;;;;;;;;;
01;2020-03-24;0;24;167;8;12;12;89;78;6;2;;;;;;
01;2020-03-24;A;0;21;0;;;;;;;;;;;;
01;2020-03-24;B;8;56;1;;;;;;;;;;;;
01;2020-03-24;C;10;46;4;;;;;;;;;;;;
01;2020-03-24;D;4;23;1;;;;;;;;;;;;
01;2020-03-24;E;2;21;2;;;;;;;;;;;;
01;2020-03-25;0;36;193;11;16;20;98;95;6;5;;;;;;
01;2020-03-25;A;0;18;0;;;;;;;;;;;;
01;2020-03-25;B;12;60;2;;;;;;;;;;;;
01;2020-03-25;C;17;53;5;;;;;;;;;;;;
01;2020-03-25;D;5;26;3;;;;;;;;;;;;
01;2020-03-25;E;2;36;1;;;;;;;;;;;;
01;2020-03-26;0;25;169;15;13;12;84;85;10;5;;;;;;
01;2020-03-26;A;0;17;0;;;;;;;;;;;;
01;2020-03-26;B;4;48;1;;;;;;;;;;;;
01;2020-03-26;C;9;45;5;;;;;;;;;;;;
01;2020-03-26;D;8;30;7;;;;;;;;;;;;
01;2020-03-26;E;4;29;2;;;;;;;;;;;;
01;2020-03-27;0;55;202;26;24;31;98;104;13;13;;;;;;
01;2020-03-27;A;0;22;0;;;;;;;;;;;;
01;2020-03-27;B;17;63;5;;;;;;;;;;;;
01;2020-03-27;C;17;48;5;;;;;;;;;;;;
01;2020-03-27;D;12;27;9;;;;;;;;;;;;
01;2020-03-27;E;9;42;7;;;;;;;;;;;;
01;2020-03-28;0;22;175;5;6;16;81;94;2;3;;;;;;
01;2020-03-28;A;0;17;0;;;;;;;;;;;;
01;2020-03-28;B;10;53;1;;;;;;;;;;;;
01;2020-03-28;C;9;55;1;;;;;;;;;;;;
01;2020-03-28;D;3;24;3;;;;;;;;;;;;
01;2020-03-28;E;0;26;0;;;;;;;;;;;;
01;2020-03-29;0;43;189;13;14;29;73;116;5;8;;;;;;
01;2020-03-29;A;0;17;0;;;;;;;;;;;;
01;2020-03-29;B;15;67;1;;;;;;;;;;;;
01;2020-03-29;C;19;53;6;;;;;;;;;;;;
01;2020-03-29;D;4;20;3;;;;;;;;;;;;
01;2020-03-29;E;5;32;3;;;;;;;;;;;;
01;2020-03-30;0;51;188;20;23;28;88;100;10;10;;;;;;
01;2020-03-30;A;1;13;0;;;;;;;;;;;;
01;2020-03-30;B;15;70;1;;;;;;;;;;;;
01;2020-03-30;C;17;46;4;;;;;;;;;;;;
01;2020-03-30;D;6;24;5;;;;;;;;;;;;
01;2020-03-30;E;12;35;10;;;;;;;;;;;;
01;2020-03-31;0;36;186;17;19;17;105;81;11;6;;;;;;
01;2020-03-31;A;2;24;0;;;;;;;;;;;;
01;2020-03-31;B;16;68;3;;;;;;;;;;;;
01;2020-03-31;C;7;39;4;;;;;;;;;;;;
01;2020-03-31;D;2;19;1;;;;;;;;;;;;
01;2020-03-31;E;9;36;9;;;;;;;;;;;;
01;2020-04-01;0;31;176;14;13;18;87;89;5;9;;;;;;
01;2020-04-01;A;0;15;0;;;;;;;;;;;;
01;2020-04-01;B;8;65;1;;;;;;;;;;;;
01;2020-04-01;C;14;46;6;;;;;;;;;;;;
01;2020-04-01;D;2;19;1;;;;;;;;;;;;
01;2020-04-01;E;7;31;6;;;;;;;;;;;;
01;2020-04-02;0;20;183;6;10;10;89;94;5;1;;;;;;
01;2020-04-02;A;1;20;1;;;;;;;;;;;;
01;2020-04-02;B;8;64;1;;;;;;;;;;;;
01;2020-04-02;C;7;48;2;;;;;;;;;;;;
01;2020-04-02;D;2;23;0;;;;;;;;;;;;
01;2020-04-02;E;2;28;2;;;;;;;;;;;;
01;2020-04-03;0;37;180;20;16;21;88;92;10;10;;;;;;
01;2020-04-03;A;1;23;0;;;;;;;;;;;;
01;2020-04-03;B;11;60;2;;;;;;;;;;;;
01;2020-04-03;C;12;47;7;;;;;;;;;;;;
01;2020-04-03;D;6;25;5;;;;;;;;;;;;
01;2020-04-03;E;7;25;6;;;;;;;;;;;;
01;2020-04-04;0;22;165;12;9;13;96;69;7;5;;;;;;
01;2020-04-04;A;0;17;0;;;;;;;;;;;;
01;2020-04-04;B;8;56;2;;;;;;;;;;;;
01;2020-04-04;C;6;42;4;;;;;;;;;;;;
01;2020-04-04;D;3;24;1;;;;;;;;;;;;
01;2020-04-04;E;5;26;5;;;;;;;;;;;;
01;2020-04-05;0;12;160;1;3;9;81;79;0;1;;;;;;
01;2020-04-05;A;0;17;0;;;;;;;;;;;;
01;2020-04-05;B;5;56;0;;;;;;;;;;;;
01;2020-04-05;C;4;45;0;;;;;;;;;;;;
01;2020-04-05;D;1;19;0;;;;;;;;;;;;
01;2020-04-05;E;2;23;1;;;;;;;;;;;;
01;2020-04-06;0;25;191;13;12;13;100;91;8;5;;;;;;
01;2020-04-06;A;1;18;1;;;;;;;;;;;;
01;2020-04-06;B;5;66;0;;;;;;;;;;;;
01;2020-04-06;C;13;56;7;;;;;;;;;;;;
01;2020-04-06;D;2;19;1;;;;;;;;;;;;
01;2020-04-06;E;4;32;4;;;;;;;;;;;;
01;2020-04-07;0;27;165;16;16;11;86;79;11;5;;;;;;
01;2020-04-07;A;0;16;0;;;;;;;;;;;;
01;2020-04-07;B;3;47;0;;;;;;;;;;;;
01;2020-04-07;C;8;41;5;;;;;;;;;;;;
01;2020-04-07;D;3;25;2;;;;;;;;;;;;
01;2020-04-07;E;13;36;9;;;;;;;;;;;;
01;2020-04-08;0;20;166;11;9;11;73;93;7;4;;;;;;
01;2020-04-08;A;0;14;0;;;;;;;;;;;;
01;2020-04-08;B;3;53;1;;;;;;;;;;;;
01;2020-04-08;C;5;37;3;;;;;;;;;;;;
01;2020-04-08;D;7;29;3;;;;;;;;;;;;
01;2020-04-08;E;5;33;4;;;;;;;;;;;;
01;2020-04-09;0;20;176;7;8;12;94;82;3;4;;;;;;
01;2020-04-09;A;0;14;0;;;;;;;;;;;;
01;2020-04-09;B;6;60;1;;;;;;;;;;;;
01;2020-04-09;C;9;60;3;;;;;;;;;;;;
01;2020-04-09;D;4;15;2;;;;;;;;;;;;
01;2020-04-09;E;1;27;1;;;;;;;;;;;;
01;2020-04-10;0;20;195;6;9;11;97;98;5;1;;;;;;
01;2020-04-10;A;0;20;0;;;;;;;;;;;;
01;2020-04-10;B;10;66;1;;;;;;;;;;;;
01;2020-04-10;C;7;56;2;;;;;;;;;;;;
01;2020-04-10;D;1;19;1;;;;;;;;;;;;
01;2020-04-10;E;2;34;2;;;;;;;;;;;;
01;2020-04-11;0;17;180;4;5;12;92;88;1;3;;;;;;
01;2020-04-11;A;2;27;0;;;;;;;;;;;;
01;2020-04-11;B;6;73;1;;;;;;;;;;;;
01;2020-04-11;C;6;40;2;;;;;;;;;;;;
01;2020-04-11;D;3;18;1;;;;;;;;;;;;
01;2020-04-11;E;0;22;0;;;;;;;;;;;;
01;2020-04-12;0;11;152;7;2;9;78;74;2;5;;;;;;
01;2020-04-12;A;0;25;0;;;;;;;;;;;;
01;2020-04-12;B;4;46;1;;;;;;;;;;;;
01;2020-04-12;C;1;38;1;;;;;;;;;;;;
01;2020-04-12;D;2;19;1;;;;;;;;;;;;
01;2020-04-12;E;4;24;4;;;;;;;;;;;;
01;2020-04-13;0;20;148;13;6;14;74;74;5;8;;;;;;
01;2020-04-13;A;0;19;0;;;;;;;;;;;;
01;2020-04-13;B;4;54;1;;;;;;;;;;;;
01;2020-04-13;C;5;32;2;;;;;;;;;;;;
01;2020-04-13;D;3;15;3;;;;;;;;;;;;
01;2020-04-13;E;8;28;7;;;;;;;;;;;;
01;2020-04-14;0;12;194;7;4;8;108;86;3;4;;;;;;
01;2020-04-14;A;0;25;0;;;;;;;;;;;;
01;2020-04-14;B;4;62;1;;;;;;;;;;;;
01;2020-04-14;C;1;47;1;;;;;;;;;;;;
01;2020-04-14;D;3;27;1;;;;;;;;;;;;
01;2020-04-14;E;4;33;4;;;;;;;;;;;;
01;2020-04-15;0;9;179;3;4;5;90;89;0;3;;;;;;
01;2020-04-15;A;0;20;0;;;;;;;;;;;;
01;2020-04-15;B;3;52;0;;;;;;;;;;;;
01;2020-04-15;C;3;53;2;;;;;;;;;;;;
01;2020-04-15;D;0;23;0;;;;;;;;;;;;
01;2020-04-15;E;3;31;1;;;;;;;;;;;;
01;2020-04-16;0;14;173;4;5;9;93;79;1;3;;;;;;
01;2020-04-16;A;0;19;0;;;;;;;;;;;;
01;2020-04-16;B;6;64;1;;;;;;;;;;;;
01;2020-04-16;C;4;43;0;;;;;;;;;;;;
