date,total_cas_confirmes,total_deces_hopital,total_deces_ehpad,total_cas_confirmes_ehpad,total_cas_possibles_ehpad,patients_reanimation,patients_hospitalises,total_patients_gueris,nouveaux_patients_hospitalises,nouveaux_patients_reanimation
2020-03-02,191,3,,,,,,,,
2020-03-03,212,4,,,,,,12,,
2020-03-04,285,4,,,,15,,,,
2020-03-05,423,7,,,,23,,,,
2020-03-06,613,9,,,,39,,,,
2020-03-07,949,16,,,,45,,,,
2020-03-08,1126,19,,,,,,,,
2020-03-09,1412,25,,,,66,,,,
2020-03-10,1784,33,,,,86,,,,
2020-03-11,2281,48,,,,105,,,,
2020-03-12,2876,61,,,,129,,,,
2020-03-13,3661,79,,,,,,,,
2020-03-14,4500,91,,,,300,,,,
2020-03-15,5423,127,,,,,400,,,
2020-03-16,6633,148,,,,,,,,
2020-03-17,7730,175,,,,699,2579,602,,
2020-03-18,9134,264,NaN,,,931,3626,1000,,
2020-03-19,10995,372,NaN,,,1122,4461,1300,2229,438
2020-03-20,12612,450,NaN,,,1297,5226,1587,1256,242
2020-03-21,14459,562,NaN,,,1525,6172,1811,1540,298
2020-03-22,16689,674,NaN,,,1746,7240,2200,1534,309
2020-03-23,19856,860,NaN,,,2082,8675,2567,2053,448
2020-03-24,22302,1100,NaN,,,2516,10176,3281,2618,571
2020-03-25,25233,1331,NaN,,,2827,11539,3900,3166,607
2020-03-26,29155,1696,NaN,,,3375,13904,4948,3097,612
2020-03-27,32964,1995,NaN,,,3787,15732,5698,3059,608
2020-03-28,37575,2314,NaN,,,4273,17620,6624,3353,695
2020-03-29,40174,2606,NaN,,,4632,19354,7131,2685,543
2020-03-30,44550,3024,NaN,,,5107,21008,7924,3108,694
2020-03-31,52128,3523,NaN,,,5565,22757,9444,4146,767
2020-04-01,56989,4032,371,,,6017,24639,10935,4281,771
2020-04-02,59105,4503,884,,,6399,26246,12428,3845,728
2020-04-03,64338,5091,1416,,,6662,27432,14008,3627,640
2020-04-04,68605,5532,2028,,,6838,28143,15438,2822,502
2020-04-05,70478,5889,2189,,,6978,28891,16183,1931,390
2020-04-06,74390,6494,2417,,,7072,29722,17250,2754,478
2020-04-07,78167,7091,3237,,,7131,30027,19337,3277,518
2020-04-08,82048,7632,3237,,,7148,30375,21254,3139,482
2020-04-09,86334,8044,4166,,,7066,30767,23206,2990,369
2020-04-10,90676,8598,4599,,,7004,31267,24932,3161,431
2020-04-11,93790,8943,4889,,,6883,31320,26391,2044,255
2020-04-12,95403,9253,5140,11958,25230,6845,31826,27186,1688,220
2020-04-13,98076,9588,5379,12481,26222,6821,32113,27718,1257,227
2020-04-14,103573,10129,5600,13050,26680,6730,32292,28805,1965,275
2020-04-15,106206,10643,6524,14393,27264,6457,31779,30995,2415,284
2020-04-16,108847,11060,6860,18967,37213,6248,31305,32812,2084,270
2020-04-17,109252,11478,7203,20272,38717,6027,31190,34420,2166,242
2020-04-18,111821,11842,7481,22163,39972,5833,30639,35983,1565,206
2020-04-19,112606,12069,7649,23048,40288,5744,30610,36578,890,137
2020-04-20,114657,12513,7752,23668,40726,5683,30584,37409,1464,208
2020-04-21,117324,12900,7896,,,5433,30106,39181,1885,190
2020-04-22,119151,13236,8104,25513,,5218,29741,40657,1619,183
2020-04-23,120804,13547,8309,26840,37379,5053,29219,42088,1410,178
2020-04-24,122577,13852,8393,27880,37251,4870,28658,43493,1346,155
2020-04-25,124114,14050,8564,29126,37374,4725,28222,44594,999,124
2020-04-26,124575,14202,8654,29643,37525,4682,28217,44903,481,79
2020-04-27,128339,14497,8796,30227,37503,4608,28055,45513,964,125
2020-04-28,129859,14810,8850,30817,39076,4387,27484,46886,1321,153
2020-04-29,128442,15053,9034,31795,,4207,26834,48228,1070,110
2020-04-30,129581,15244,9132,32355,,4019,26283,49476,1048,121
2020-05-01,130185,15369,9225,32791,,3878,25887,50212,668,73
2020-05-02,130979,15487,9273,33271,,3827,25827,50562,453,64
2020-05-03,131287,15583,9312,33361,,3819,25815,50784,345,80
2020-05-04,131863,15826,9375,33791,,3696,25548,51371,689,84
2020-05-05,132967,16060,9471,34108,,3430,24775,52736,987,111
2020-05-06,137150,16237,9572,34507,,3147,23983,53972,833,69
2020-05-07,137779,16386,9601,34653,,2961,23208,55027,728,99
2020-05-08,138421,16497,9733,34890,,2868,22724,55782,510,89
2020-05-09,138854,16573,9737,35046,,2812,22614,56038,265,38
2020-05-10,139063,16642,9738,35236,,2776,22569,56217,253,38
2020-05-11,139519,16820,9823,35195,,2712,22284,56724,523,82
2020-05-12,140227,17003,9988,35437,,2542,21595,57785,670,92
2020-05-13,140734,17101,9973,35604,,2428,21071,58673,543,69
2020-05-14,141356,17224,10201,35820,,2299,20463,59605,542,52
2020-05-15,141919,17342,10187,36126,,2203,19861,60448,438,64
2020-05-16,142291,17412,10213,36175,,2132,19432,61066,350,46
2020-05-17,142411,17466,10642,36461,,2087,19361,61213,152,24
2020-05-18,142903,17589,10650,36599,,1998,19015,61728,375,38
2020-05-19,143427,17714,10308,36530,,1894,18468,62563,506,69
2020-05-20,143845,17812,10320,36751,,1794,17941,63354,432,43
2020-05-21,144163,17870,10345,36853,,1745,17583,63858,271,28
