dep;jour;P;cl_age90;pop
01;2020-05-13;0;09;83001
01;2020-05-13;1;19;84665
01;2020-05-13;0;29;65496
01;2020-05-13;1;39;85588
01;2020-05-13;0;49;89678
01;2020-05-13;0;59;89791
01;2020-05-13;0;69;73500
01;2020-05-13;1;79;51011
01;2020-05-13;4;89;26830
01;2020-05-13;2;90;7395
01;2020-05-13;9;0;656955
01;2020-05-14;0;09;83001
01;2020-05-14;6;19;84665
01;2020-05-14;1;29;65496
01;2020-05-14;0;39;85588
01;2020-05-14;1;49;89678
01;2020-05-14;1;59;89791
01;2020-05-14;0;69;73500
01;2020-05-14;0;79;51011
01;2020-05-14;0;89;26830
01;2020-05-14;0;90;7395
01;2020-05-14;9;0;656955
01;2020-05-15;0;09;83001
01;2020-05-15;0;19;84665
01;2020-05-15;0;29;65496
01;2020-05-15;2;39;85588
01;2020-05-15;0;49;89678
01;2020-05-15;1;59;89791
01;2020-05-15;0;69;73500
01;2020-05-15;1;79;51011
01;2020-05-15;1;89;26830
01;2020-05-15;0;90;7395
01;2020-05-15;5;0;656955
01;2020-05-16;0;09;83001
01;2020-05-16;0;19;84665
01;2020-05-16;0;29;65496
01;2020-05-16;0;39;85588
01;2020-05-16;0;49;89678
01;2020-05-16;0;59;89791
01;2020-05-16;0;69;73500
01;2020-05-16;0;79;51011
01;2020-05-16;0;89;26830
01;2020-05-16;0;90;7395
01;2020-05-16;0;0;656955
01;2020-05-17;0;09;83001
01;2020-05-17;0;19;84665
01;2020-05-17;0;29;65496
01;2020-05-17;0;39;85588
01;2020-05-17;0;49;89678
01;2020-05-17;0;59;89791
01;2020-05-17;0;69;73500
01;2020-05-17;0;79;51011
01;2020-05-17;0;89;26830
01;2020-05-17;0;90;7395
01;2020-05-17;0;0;656955
01;2020-05-18;0;09;83001
01;2020-05-18;0;19;84665
01;2020-05-18;0;29;65496
01;2020-05-18;1;39;85588
01;2020-05-18;0;49;89678
01;2020-05-18;0;59;89791
01;2020-05-18;0;69;73500
01;2020-05-18;1;79;51011
01;2020-05-18;6;89;26830
01;2020-05-18;3;90;7395
01;2020-05-18;11;0;656955
01;2020-05-19;0;09;83001
01;2020-05-19;1;19;84665
01;2020-05-19;0;29;65496
01;2020-05-19;1;39;85588
01;2020-05-19;0;49;89678
01;2020-05-19;0;59;89791
01;2020-05-19;2;69;73500
01;2020-05-19;0;79;51011
01;2020-05-19;2;89;26830
01;2020-05-19;3;90;7395
01;2020-05-19;9;0;656955
01;2020-05-20;0;09;83001
01;2020-05-20;0;19;84665
01;2020-05-20;3;29;65496
01;2020-05-20;3;39;85588
01;2020-05-20;3;49;89678
01;2020-05-20;0;59;89791
01;2020-05-20;0;69;73500
01;2020-05-20;0;79;51011
01;2020-05-20;2;89;26830
01;2020-05-20;0;90;7395
01;2020-05-20;11;0;656955
01;2020-05-21;0;09;83001
01;2020-05-21;0;19;84665
01;2020-05-21;0;29;65496
01;2020-05-21;0;39;85588
01;2020-05-21;0;49;89678
01;2020-05-21;0;59;89791
01;2020-05-21;0;69;73500
01;2020-05-21;1;79;51011
01;2020-05-21;0;89;26830
01;2020-05-21;0;90;7395
01;2020-05-21;1;0;656955
01;2020-05-22;0;09;83001
01;2020-05-22;1;19;84665
01;2020-05-22;0;29;65496
01;2020-05-22;1;39;85588
01;2020-05-22;0;49;89678
01;2020-05-22;0;59;89791
01;2020-05-22;2;69;73500
01;2020-05-22;2;79;51011
01;2020-05-22;0;89;26830
01;2020-05-22;1;90;7395
01;2020-05-22;7;0;656955
01;2020-05-23;0;09;83001
01;2020-05-23;0;19;84665
01;2020-05-23;1;29;65496
01;2020-05-23;0;39;85588
01;2020-05-23;1;49;89678
01;2020-05-23;0;59;89791
01;2020-05-23;0;69;73500
01;2020-05-23;0;79;51011
01;2020-05-23;0;89;26830
01;2020-05-23;0;90;7395
01;2020-05-23;2;0;656955
01;2020-05-24;0;09;83001
01;2020-05-24;0;19;84665
01;2020-05-24;0;29;65496
01;2020-05-24;0;39;85588
01;2020-05-24;0;49;89678
01;2020-05-24;0;59;89791
01;2020-05-24;0;69;73500
01;2020-05-24;0;79;51011
01;2020-05-24;0;89;26830
01;2020-05-24;0;90;7395
01;2020-05-24;0;0;656955
01;2020-05-25;0;09;83001
01;2020-05-25;0;19;84665
01;2020-05-25;0;29;65496
01;2020-05-25;1;39;85588
01;2020-05-25;0;49;89678
01;2020-05-25;0;59;89791
01;2020-05-25;1;69;73500
01;2020-05-25;0;79;51011
01;2020-05-25;0;89;26830
01;2020-05-25;1;90;7395
01;2020-05-25;3;0;656955
01;2020-05-26;0;09;83001
01;2020-05-26;0;19;84665
01;2020-05-26;0;29;65496
01;2020-05-26;0;39;85588
01;2020-05-26;0;49;89678
01;2020-05-26;0;59;89791
01;2020-05-26;0;69;73500
01;2020-05-26;1;79;51011
01;2020-05-26;1;89;26830
01;2020-05-26;0;90;7395
01;2020-05-26;2;0;656955
01;2020-05-27;0;09;83001
01;2020-05-27;0;19;84665
01;2020-05-27;0;29;65496
01;2020-05-27;0;39;85588
01;2020-05-27;1;49;89678
01;2020-05-27;1;59;89791
01;2020-05-27;1;69;73500
01;2020-05-27;0;79;51011
01;2020-05-27;0;89;26830
01;2020-05-27;1;90;7395
01;2020-05-27;4;0;656955
01;2020-05-28;0;09;83001
01;2020-05-28;0;19;84665
01;2020-05-28;0;29;65496
01;2020-05-28;1;39;85588
01;2020-05-28;0;49;89678
01;2020-05-28;0;59;89791
01;2020-05-28;0;69;73500
01;2020-05-28;0;79;51011
01;2020-05-28;0;89;26830
01;2020-05-28;0;90;7395
01;2020-05-28;1;0;656955
01;2020-05-29;0;09;83001
01;2020-05-29;2;19;84665
01;2020-05-29;0;29;65496
01;2020-05-29;0;39;85588
01;2020-05-29;0;49;89678
01;2020-05-29;0;59;89791
01;2020-05-29;0;69;73500
01;2020-05-29;0;79;51011
01;2020-05-29;2;89;26830
01;2020-05-29;2;90;7395
01;2020-05-29;6;0;656955
01;2020-05-30;0;09;83001
01;2020-05-30;0;19;84665
01;2020-05-30;0;29;65496
01;2020-05-30;0;39;85588
01;2020-05-30;1;49;89678
01;2020-05-30;0;59;89791
01;2020-05-30;0;69;73500
01;2020-05-30;1;79;51011
01;2020-05-30;0;89;26830
01;2020-05-30;0;90;7395
01;2020-05-30;2;0;656955
01;2020-05-31;0;09;83001
01;2020-05-31;0;19;84665
01;2020-05-31;0;29;65496
01;2020-05-31;0;39;85588
01;2020-05-31;0;49;89678
01;2020-05-31;0;59;89791
01;2020-05-31;0;69;73500
01;2020-05-31;0;79;51011
01;2020-05-31;0;89;26830
01;2020-05-31;1;90;7395
01;2020-05-31;1;0;656955
01;2020-06-01;0;09;83001
01;2020-06-01;0;19;84665
01;2020-06-01;0;29;65496
01;2020-06-01;0;39;85588
01;2020-06-01;0;49;89678
01;2020-06-01;0;59;89791
01;2020-06-01;0;69;73500
01;2020-06-01;0;79;51011
01;2020-06-01;1;89;26830
01;2020-06-01;3;90;7395
01;2020-06-01;4;0;656955
01;2020-06-02;0;09;83001
01;2020-06-02;0;19;84665
01;2020-06-02;0;29;65496
01;2020-06-02;0;39;85588
01;2020-06-02;0;49;89678
01;2020-06-02;0;59;89791
01;2020-06-02;0;69;73500
01;2020-06-02;0;79;51011
01;2020-06-02;1;89;26830
01;2020-06-02;2;90;7395
01;2020-06-02;3;0;656955
01;2020-06-03;0;09;83001
01;2020-06-03;0;19;84665
01;2020-06-03;1;29;65496
01;2020-06-03;1;39;85588
01;2020-06-03;0;49;89678
01;2020-06-03;0;59;89791
01;2020-06-03;0;69;73500
01;2020-06-03;0;79;51011
01;2020-06-03;0;89;26830
01;2020-06-03;0;90;7395
01;2020-06-03;2;0;656955
01;2020-06-04;0;09;83001
01;2020-06-04;0;19;84665
01;2020-06-04;0;29;65496
01;2020-06-04;0;39;85588
01;2020-06-04;0;49;89678
01;2020-06-04;0;59;89791
01;2020-06-04;0;69;73500
01;2020-06-04;0;79;51011
01;2020-06-04;0;89;26830
01;2020-06-04;0;90;7395
01;2020-06-04;0;0;656955
01;2020-06-05;0;09;83001
01;2020-06-05;0;19;84665
01;2020-06-05;0;29;65496
01;2020-06-05;1;39;85588
01;2020-06-05;0;49;89678
01;2020-06-05;0;59;89791
01;2020-06-05;2;69;73500
01;2020-06-05;0;79;51011
01;2020-06-05;2;89;26830
01;2020-06-05;0;90;7395
01;2020-06-05;5;0;656955
01;2020-06-06;0;09;83001
01;2020-06-06;0;19;84665
01;2020-06-06;1;29;65496
01;2020-06-06;0;39;85588
01;2020-06-06;2;49;89678
01;2020-06-06;0;59;89791
01;2020-06-06;0;69;73500
01;2020-06-06;0;79;51011
01;2020-06-06;0;89;26830
01;2020-06-06;0;90;7395
01;2020-06-06;3;0;656955
01;2020-06-07;0;09;83001
01;2020-06-07;0;19;84665
01;2020-06-07;0;29;65496
01;2020-06-07;0;39;85588
01;2020-06-07;0;49;89678
01;2020-06-07;0;59;89791
01;2020-06-07;0;69;73500
01;2020-06-07;0;79;51011
01;2020-06-07;1;89;26830
01;2020-06-07;0;90;7395
01;2020-06-07;1;0;656955
01;2020-06-08;0;09;83001
01;2020-06-08;0;19;84665
01;2020-06-08;0;29;65496
01;2020-06-08;0;39;85588
