fra;jour;clage_vacsi;n_dose1
FR;2020-12-18;0;2,00
FR;2020-12-18;80;2,00
FR;2020-12-23;0;1,00
FR;2020-12-23;80;1,00
FR;2020-12-27;0;13,00
FR;2020-12-27;64;1,00
FR;2020-12-27;69;2,00
FR;2020-12-27;79;1,00
FR;2020-12-27;80;9,00
FR;2020-12-28;0;38,00
FR;2020-12-28;29;1,00
FR;2020-12-28;59;1,00
FR;2020-12-28;69;1,00
FR;2020-12-28;74;3,00
FR;2020-12-28;79;3,00
FR;2020-12-28;80;29,00
FR;2020-12-29;0;64,00
FR;2020-12-29;39;1,00
FR;2020-12-29;59;1,00
FR;2020-12-29;69;2,00
FR;2020-12-29;74;2,00
FR;2020-12-29;79;10,00
FR;2020-12-29;80;48,00
FR;2020-12-30;0;88,00
FR;2020-12-30;49;1,00
FR;2020-12-30;59;3,00
FR;2020-12-30;64;5,00
FR;2020-12-30;69;6,00
FR;2020-12-30;74;8,00
FR;2020-12-30;79;9,00
FR;2020-12-30;80;56,00
FR;2020-12-31;0;75,00
FR;2020-12-31;39;1,00
FR;2020-12-31;59;7,00
FR;2020-12-31;64;5,00
FR;2020-12-31;69;3,00
FR;2020-12-31;74;5,00
FR;2020-12-31;79;6,00
FR;2020-12-31;80;48,00
FR;2021-01-01;0;9,00
FR;2021-01-01;49;1,00
FR;2021-01-01;59;6,00
FR;2021-01-01;64;1,00
FR;2021-01-01;69;1,00
FR;2021-01-02;0;42,00
FR;2021-01-02;29;1,00
FR;2021-01-02;49;5,00
FR;2021-01-02;59;20,00
FR;2021-01-02;64;8,00
FR;2021-01-02;69;4,00
FR;2021-01-02;74;3,00
FR;2021-01-02;79;1,00
FR;2021-01-03;0;74,00
FR;2021-01-03;24;1,00
FR;2021-01-03;29;2,00
FR;2021-01-03;39;2,00
FR;2021-01-03;49;2,00
FR;2021-01-03;59;25,00
FR;2021-01-03;64;19,00
FR;2021-01-03;69;9,00
FR;2021-01-03;74;12,00
FR;2021-01-03;79;1,00
FR;2021-01-03;80;1,00
FR;2021-01-04;0;1341,00
FR;2021-01-04;24;3,00
FR;2021-01-04;29;7,00
FR;2021-01-04;39;21,00
FR;2021-01-04;49;64,00
FR;2021-01-04;59;507,00
FR;2021-01-04;64;223,00
FR;2021-01-04;69;116,00
FR;2021-01-04;74;88,00
FR;2021-01-04;79;49,00
FR;2021-01-04;80;263,00
FR;2021-01-05;0;4761,00
FR;2021-01-05;24;8,00
FR;2021-01-05;29;32,00
FR;2021-01-05;39;113,00
FR;2021-01-05;49;227,00
FR;2021-01-05;59;1750,00
FR;2021-01-05;64;847,00
FR;2021-01-05;69;434,00
FR;2021-01-05;74;266,00
FR;2021-01-05;79;181,00
FR;2021-01-05;80;903,00
FR;2021-01-06;0;9993,00
FR;2021-01-06;24;21,00
FR;2021-01-06;29;108,00
FR;2021-01-06;39;330,00
FR;2021-01-06;49;617,00
FR;2021-01-06;59;4011,00
FR;2021-01-06;64;1692,00
FR;2021-01-06;69;801,00
FR;2021-01-06;74;519,00
FR;2021-01-06;79;330,00
FR;2021-01-06;80;1563,00
FR;2021-01-07;0;25178,00
FR;2021-01-07;24;108,00
FR;2021-01-07;29;251,00
FR;2021-01-07;39;966,00
FR;2021-01-07;49;1671,00
FR;2021-01-07;59;8706,00
FR;2021-01-07;64;3646,00
